Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2016,APR THRU JUN,NA,MICHIGAN,26,NA,ADDED & REPLACED,13500,NA
2016,APR THRU JUN,NA,MINNESOTA,27,NA,ADDED & REPLACED,24000,NA
2016,APR THRU JUN,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,9000,NA
2016,APR THRU JUN,NA,MISSOURI,29,NA,ADDED & REPLACED,1800,NA
2016,APR THRU JUN,NA,MONTANA,30,NA,ADDED & REPLACED,25000,NA
2016,APR THRU JUN,NA,NEBRASKA,31,NA,ADDED & REPLACED,8000,NA
2016,APR THRU JUN,NA,NEW JERSEY,34,NA,ADDED & REPLACED,1900,NA
2016,APR THRU JUN,NA,NEW MEXICO,35,NA,ADDED & REPLACED,2700,NA
2016,APR THRU JUN,NA,NEW YORK,36,NA,ADDED & REPLACED,13500,NA
2016,APR THRU JUN,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,10000,NA
2016,APR THRU JUN,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,23000,NA
2016,APR THRU JUN,NA,OHIO,39,NA,ADDED & REPLACED,6000,NA
2016,APR THRU JUN,NA,OKLAHOMA,40,NA,ADDED & REPLACED,4000,NA
2016,APR THRU JUN,NA,OREGON,41,NA,ADDED & REPLACED,19000,NA
2016,APR THRU JUN,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,6500,NA
2016,APR THRU JUN,NA,SOUTH CAROLINA,45,NA,ADDED & REPLACED,2200,NA
2016,APR THRU JUN,NA,SOUTH DAKOTA,46,NA,ADDED & REPLACED,15000,NA
2016,APR THRU JUN,NA,TENNESSEE,47,NA,ADDED & REPLACED,3900,NA
2016,APR THRU JUN,NA,TEXAS,48,NA,ADDED & REPLACED,74000,NA
2016,APR THRU JUN,NA,UTAH,49,NA,ADDED & REPLACED,12000,NA
2016,APR THRU JUN,NA,VERMONT,50,NA,ADDED & REPLACED,480,NA
2016,APR THRU JUN,NA,VIRGINIA,51,NA,ADDED & REPLACED,2200,NA
2016,APR THRU JUN,NA,WASHINGTON,53,NA,ADDED & REPLACED,21000,NA
2016,APR THRU JUN,NA,WEST VIRGINIA,54,NA,ADDED & REPLACED,2600,NA
2016,APR THRU JUN,NA,WISCONSIN,55,NA,ADDED & REPLACED,17500,NA
2016,APR THRU JUN,NA,WYOMING,56,NA,ADDED & REPLACED,7500,NA
2016,JUL THRU SEP,NA,ALABAMA,1,NA,ADDED & REPLACED,440,NA
2016,JUL THRU SEP,NA,ARIZONA,4,NA,ADDED & REPLACED,3200,NA
2016,JUL THRU SEP,NA,ARKANSAS,5,NA,ADDED & REPLACED,270,NA
2016,JUL THRU SEP,NA,CALIFORNIA,6,NA,ADDED & REPLACED,33000,NA
2016,JUL THRU SEP,NA,COLORADO,8,NA,ADDED & REPLACED,1100,NA
2016,JUL THRU SEP,NA,CONNECTICUT,9,NA,ADDED & REPLACED,890,NA
2016,JUL THRU SEP,NA,FLORIDA,12,NA,ADDED & REPLACED,62000,NA
2016,JUL THRU SEP,NA,GEORGIA,13,NA,ADDED & REPLACED,12500,NA
